season,match_id,team_a,team_b,team_a_score,team_b_score,winner,date,venue,strength_a,strength_b
1,PKL_S1_M001,Telugu Titans,Puneri Paltan,35,35,Puneri Paltan,2023-01-01,Delhi,0.7589606407753696,0.7683717364576454
1,PKL_S1_M002,Bengaluru Bulls,Jaipur Pink Panthers,35,43,Jaipur Pink Panthers,2023-01-02,Delhi,0.6668291153593768,0.8261514928204012
1,PKL_S1_M003,Puneri Paltan,Haryana Steelers,33,27,Puneri Paltan,2023-01-03,Lucknow,0.7683717364576454,0.7082923312638332
1,PKL_S1_M004,Puneri Paltan,Tamil Thalaivas,29,40,Tamil Thalaivas,2023-01-04,Ahmedabad,0.7683717364576454,0.6882931521525409
1,PKL_S1_M005,Haryana Steelers,Tamil Thalaivas,38,37,Haryana Steelers,2023-01-05,Bengaluru,0.7082923312638332,0.6882931521525409
1,PKL_S1_M006,Dabang Delhi KC,Bengal Warriors,35,36,Dabang Delhi KC,2023-01-06,Patna,0.7971280021792982,0.8130867849414407
1,PKL_S1_M007,Patna Pirates,Dabang Delhi KC,43,33,Patna Pirates,2023-01-07,Bengaluru,0.8748357076505616,0.7971280021792982
1,PKL_S1_M008,Gujarat Giants,U Mumba,34,36,U Mumba,2023-01-08,Pune,0.6865262807032524,0.8123844269050347
1,PKL_S1_M009,UP Yoddhas,Tamil Thalaivas,33,35,UP Yoddhas,2023-01-09,Jaipur,0.6367135123214872,0.6882931521525409
1,PKL_S1_M010,Jaipur Pink Panthers,Telugu Titans,28,35,Telugu Titans,2023-01-10,Pune,0.8261514928204012,0.7589606407753696
1,PKL_S1_M011,Jaipur Pink Panthers,Patna Pirates,41,28,Jaipur Pink Panthers,2023-01-11,Mumbai,0.8261514928204012,0.8748357076505616
1,PKL_S1_M012,Tamil Thalaivas,Dabang Delhi KC,39,25,Tamil Thalaivas,2023-01-12,Haryana,0.6882931521525409,0.7971280021792982
1,PKL_S1_M013,Telugu Titans,Bengal Warriors,33,33,Bengal Warriors,2023-01-13,Kolkata,0.7589606407753696,0.8130867849414407
1,PKL_S1_M014,UP Yoddhas,Jaipur Pink Panthers,39,36,UP Yoddhas,2023-01-14,Jaipur,0.6367135123214872,0.8261514928204012
1,PKL_S1_M015,UP Yoddhas,U Mumba,30,32,U Mumba,2023-01-15,Chennai,0.6367135123214872,0.8123844269050347
